택시운송업 사업체수,택시운송업 종사자수,한식 일반 음식점업 사업체수,한식 일반 음식점업 종사자수,용달 화물자동차 운송업 사업체수,용달 화물자동차 운송업 종사자수,부동산 중개 및 대리업 사업체수,부동산 중개 및 대리업 종사자수,두발미용업 사업체수,두발미용업 종사자수,커피전문점 사업체수,커피전문점 종사자수,남녀용 겉옷 및 셔츠 도매업 사업체수,남녀용 겉옷 및 셔츠 도매업 종사자수,기타주점업 사업체수,기타주점업 종사자수,일반 교과 학원 사업체수,일반 교과 학원 종사자수,한식 육류요리 전문점 사업체수,한식 육류요리 전문점 종사자수
39,39,129,432,34,34,77,129,72,224,125,471,5,113,204,705,8,57,108,422
59,216,63,216,47,51,53,74,49,78,48,179,6,38,53,111,13,112,34,113
72,176,68,154,67,67,50,89,41,47,20,29,10,74,44,69,13,31,23,73
79,79,52,160,75,78,64,83,61,78,31,66,13,48,34,63,32,81,20,82
99,211,40,95,67,67,45,64,49,66,26,73,6,21,47,81,12,34,23,56
157,258,48,123,121,121,43,59,56,70,28,74,4,34,28,55,33,146,20,65
34,34,24,90,27,27,24,38,15,27,19,56,7,54,24,57,4,5,19,75
47,47,78,230,52,56,80,112,56,82,36,80,6,11,54,155,24,83,54,183
126,277,63,139,119,119,54,84,39,56,29,98,1,2,22,36,21,56,19,52
47,47,104,326,34,34,71,117,57,143,47,199,4,93,21,51,99,419,28,127
39,39,48,177,17,17,68,97,34,53,38,125,16,179,12,29,56,266,16,92
71,71,88,256,79,79,68,119,65,110,32,91,1,1,20,38,14,79,31,88
105,105,35,95,81,86,53,88,51,68,28,75,2,4,27,50,34,112,22,79
76,76,43,159,77,77,66,87,43,105,37,117,4,10,8,18,47,161,19,70
69,69,80,209,71,72,55,73,58,130,46,154,4,5,35,59,3,4,31,101
1546,2093,1236,3566,1431,1456,842,1208,611,891,494,1472,211,976,499,1082,302,984,442,1509
18,18,74,245,20,20,25,36,31,85,57,196,1,1,67,183,7,16,29,108
42,42,39,105,25,25,42,66,21,41,18,65,3,124,17,49,10,31,23,93
123,123,31,80,445,445,40,62,24,28,29,67,1,1,8,21,14,53,3,8
67,67,94,230,61,63,47,73,44,58,23,60,0,0,27,54,8,24,30,99
71,71,237,683,82,97,111,168,49,68,75,206,66,259,47,92,16,86,59,217
47,47,163,424,75,76,74,104,40,47,36,72,12,47,67,110,16,42,27,74
101,101,117,424,79,81,92,130,70,97,40,112,8,20,38,87,25,64,42,116
91,91,24,53,61,61,20,24,33,36,17,52,2,2,8,22,32,57,7,19
286,286,52,164,85,85,67,82,30,45,24,96,5,16,20,39,26,100,17,45
145,145,64,173,116,118,58,73,43,64,20,61,7,19,27,61,20,65,22,93
